imageName,boxNumber,tl,br,lowerBound,upperBound
WIN_20200113_10_54_45_Pro.jpg,0,186 105,227 142,1,1
WIN_20200113_10_54_45_Pro.jpg,1,188 152,224 199,5,6
WIN_20200113_10_54_45_Pro.jpg,2,257 171,284 199,1,1
WIN_20200113_10_54_45_Pro.jpg,3,47 182,69 204,1,1
WIN_20200113_10_54_45_Pro.jpg,4,276 197,334 258,2,4
WIN_20200113_10_54_45_Pro.jpg,5,453 209,488 241,1,1
WIN_20200113_10_54_45_Pro.jpg,6,333 280,360 305,1,1
WIN_20200113_10_54_45_Pro.jpg,7,265 283,277 294,1,1
WIN_20200113_10_54_45_Pro.jpg,8,466 286,483 302,1,1
WIN_20200113_10_54_48_Pro.jpg,0,187 105,229 142,1,1
WIN_20200113_10_54_48_Pro.jpg,1,190 153,227 199,5,6
WIN_20200113_10_54_48_Pro.jpg,2,259 171,286 199,1,1
WIN_20200113_10_54_48_Pro.jpg,3,48 184,70 205,1,1
WIN_20200113_10_54_48_Pro.jpg,4,278 197,337 255,2,4
WIN_20200113_10_54_48_Pro.jpg,5,455 209,491 241,1,1
WIN_20200113_10_54_48_Pro.jpg,6,335 280,362 305,1,1
WIN_20200113_10_54_48_Pro.jpg,7,267 282,281 294,1,1
WIN_20200113_10_54_48_Pro.jpg,8,469 286,486 302,1,1
WIN_20200113_10_57_42_Pro.jpg,0,156 161,180 184,1,1
WIN_20200113_10_57_42_Pro.jpg,1,284 162,304 182,1,1
WIN_20200113_10_57_42_Pro.jpg,2,262 215,286 237,1,1
WIN_20200113_10_57_42_Pro.jpg,3,407 220,437 247,1,1
WIN_20200113_10_57_42_Pro.jpg,4,87 294,98 302,1,1
WIN_20200113_10_57_42_Pro.jpg,5,334 330,357 353,1,1
WIN_20200113_10_57_42_Pro.jpg,6,348 377,371 397,1,1
WIN_20200113_10_57_42_Pro.jpg,7,178 410,194 429,1,1
WIN_20200113_10_58_08_Pro.jpg,0,339 156,364 181,1,1
WIN_20200113_10_58_08_Pro.jpg,1,99 161,203 256,1,2
WIN_20200113_10_58_08_Pro.jpg,2,308 161,330 181,1,1
WIN_20200113_10_58_08_Pro.jpg,3,366 268,385 282,1,1
WIN_20200113_10_58_08_Pro.jpg,4,355 321,401 365,1,1
WIN_20200113_10_58_08_Pro.jpg,5,444 366,465 385,1,1
WIN_20200113_10_58_16_Pro.jpg,0,94 153,200 250,1,2
WIN_20200113_10_58_16_Pro.jpg,1,339 159,366 183,1,1
WIN_20200113_10_58_16_Pro.jpg,2,308 160,330 182,1,1
WIN_20200113_10_58_16_Pro.jpg,3,361 272,379 286,1,1
WIN_20200113_10_58_16_Pro.jpg,4,346 325,392 367,1,1
WIN_20200113_10_58_16_Pro.jpg,5,433 373,454 390,1,1
WIN_20200113_10_58_30_Pro.jpg,0,69 128,88 145,1,1
WIN_20200113_10_58_30_Pro.jpg,1,204 159,230 186,1,1
WIN_20200113_10_58_30_Pro.jpg,2,372 199,396 222,1,1
WIN_20200113_10_58_30_Pro.jpg,3,383 273,406 294,1,1
WIN_20200113_10_58_30_Pro.jpg,4,453 277,483 299,1,1
WIN_20200113_10_58_30_Pro.jpg,5,182 295,195 306,1,1
WIN_20200113_10_58_30_Pro.jpg,6,413 329,441 353,1,1
WIN_20200113_10_58_30_Pro.jpg,7,190 345,236 397,3,4
WIN_20200113_10_58_30_Pro.jpg,8,207 390,247 417,2,2
WIN_20200113_10_58_30_Pro.jpg,9,183 455,209 479,1,1
WIN_20200113_10_58_59_Pro.jpg,0,231 85,258 110,1,1
WIN_20200113_10_58_59_Pro.jpg,1,402 119,419 136,1,1
WIN_20200113_10_58_59_Pro.jpg,2,274 155,300 179,1,1
WIN_20200113_10_58_59_Pro.jpg,3,126 257,169 286,2,2
WIN_20200113_10_58_59_Pro.jpg,4,197 274,226 302,1,1
WIN_20200113_10_58_59_Pro.jpg,5,116 306,141 332,1,1
WIN_20200113_10_58_59_Pro.jpg,6,381 401,385 406,1,1
WIN_20200113_10_58_59_Pro.jpg,7,111 403,226 483,1,1
WIN_20200113_10_58_59_Pro.jpg,8,237 427,266 451,1,1
WIN_20200113_10_59_07_Pro.jpg,0,251 59,267 75,1,1
WIN_20200113_10_59_07_Pro.jpg,1,105 141,131 167,1,1
WIN_20200113_10_59_07_Pro.jpg,2,188 162,212 189,1,1
WIN_20200113_10_59_07_Pro.jpg,3,441 282,448 286,1,1
WIN_20200113_10_59_07_Pro.jpg,4,220 299,249 325,1,1
WIN_20200113_10_59_07_Pro.jpg,5,155 327,197 356,2,2
WIN_20200113_10_59_07_Pro.jpg,6,186 376,211 402,1,1
WIN_20200113_10_59_07_Pro.jpg,7,362 382,388 409,1,1
WIN_20200113_10_59_07_Pro.jpg,8,268 409,382 483,1,1
WIN_20200113_10_59_22_Pro.jpg,0,446 167,469 189,1,1
WIN_20200113_10_59_22_Pro.jpg,1,354 184,377 208,1,1
WIN_20200113_10_59_22_Pro.jpg,2,447 212,485 250,1,1
WIN_20200113_10_59_22_Pro.jpg,3,316 271,337 291,1,1
WIN_20200113_10_59_22_Pro.jpg,4,340 274,355 291,1,1
WIN_20200113_10_59_22_Pro.jpg,5,78 304,169 388,1,3
WIN_20200113_10_59_58_Pro.jpg,0,364 110,403 142,1,1
WIN_20200113_10_59_58_Pro.jpg,1,308 140,336 166,1,1
WIN_20200113_10_59_58_Pro.jpg,2,395 176,409 190,1,1
WIN_20200113_10_59_58_Pro.jpg,3,426 233,451 258,1,1
WIN_20200113_10_59_58_Pro.jpg,4,426 274,460 314,2,3
WIN_20200113_10_59_58_Pro.jpg,5,17 277,34 294,1,1
WIN_20200113_10_59_58_Pro.jpg,6,250 303,267 320,1,1
WIN_20200113_10_59_58_Pro.jpg,7,51 335,95 370,1,1
